ntoskrnlVersion,PspCreateProcessNotifyRoutineOffset,PspCreateThreadNotifyRoutineOffset,PspLoadImageNotifyRoutineOffset,_PS_PROTECTIONOffset,EtwThreatIntProvRegHandleOffset,EtwRegEntry_GuidEntryOffset,EtwGuidEntry_ProviderEnableInfoOffset,PsProcessType,PsThreadType,CallbackList
4636fbd0d14be6f99248748f2efc6ca1ce159fb8a867ac2644399fd7d5a1cf83,4d5cf0,4d58f0,4d5af0,6ca,406630,20,60,53e2d0,53e2f8,c8
94718578d564f74e9322a034c461b7b54ba5bdc855073a7f0479c81876ea452b,4d5cf0,4d58f0,4d5af0,6ca,406630,20,60,53e2d0,53e2f8,c8
54c10ea5e7675d3cee8966798b7e69e6e44783c8f28f3a42d838d1cdcd16066f,4d5b70,4d5d70,4d5970,6ca,4066d8,20,60,53e2d0,53e2f8,c8
48ad0a9846f406f3252657c8778cfc5fa2e049bd23bf5ec82187600929e27fdf,4d5b70,4d5d70,4d5970,6ca,4066d8,20,60,53e2d0,53e2f8,c8
a2953426fb1ad82c8827ebe90c688bc2406a9332b56aff5d766492dd181a18ba,4d5b70,4d5d70,4d5970,6ca,4066d8,20,60,53e2d0,53e2f8,c8
c0c04057d288872c12097e1abe9c4ad32ceeb2d7445fd8ec0ec53e3fbf20e3c1,4d5b70,4d5d70,4d5970,6ca,4066d8,20,60,53e2d0,53e2f8,c8
eb5060daf7879b50ded8b3a24b54c0d4edf965b7652f57f13688710ab97dbec9,4d5bf0,4d57f0,4d59f0,6ca,4066c0,20,60,53e2d0,53e2f8,c8
e2f1857de3560a5237ca7ea661fc3688715bbbf6baa483511d49baac4ce1acf9,4d5bf0,4d57f0,4d59f0,6ca,4066c0,20,60,53e2d0,53e2f8,c8
8a077ac2937baa9882a003b435fa2574a630e9aff0d9a32d89ebdae3d4930ece,4d6870,4d6a70,4d6670,6ca,407498,20,60,53f2d0,53f2f8,c8
8db2060a38810355d69f724a0664bc9dbf804867db17bafa18d9818c616a0150,4d5cf0,4d58f0,4d5af0,6ca,406630,20,60,53e2d0,53e2f8,c8
b638f4ce0737945459bf1522eaef0962807605d82095e8721e4fc58233170800,4d6870,4d6a70,4d6670,6ca,407498,20,60,53f2d0,53f2f8,c8
0d737f853fdb6f78c24224216b05a88468eb349eca2b88315387934a6512db30,4d9d70,4d9970,4d9b70,6ca,40a038,20,50,5422d0,5422f8,c8
5e16f9c5146dbab4a6bd0c250e9095ae215d986742f193963c71c9eb640e2e16,4d5b70,4d5d70,4d5970,6ca,4066d8,20,60,53e2d0,53e2f8,c8
6553d0984202d9146c609cf25aba976f5211f5badf1e5147a8bee1d6f13e7d2a,4d9d70,4d9970,4d9b70,6ca,40a038,20,50,5422d0,5422f8,c8
749945259e6273d2a2e934da009057f5d988f619a1aed0ea1b5f8aa0bc0bab17,4d6bb0,4d67b0,4d69b0,6ca,407498,20,60,53f2d0,53f2f8,c8
88cf4f2dcddacc42455c7aba95efdd3f686c23fa82127b4a105b0ba3aa2f8263,4d67b0,4d69b0,4d65b0,6ca,407418,20,60,53f2d0,53f2f8,c8
d2aab7469c92ad2508afe5c6af056861504e8d2c9c56e8ee7e47cfde5c952493,4d67b0,4d69b0,4d65b0,6ca,407418,20,60,53f2d0,53f2f8,c8
0fcca24bc0e7aeaecf9121e1702363152d02918e1c5e7ab9addf2bb8569fa8b1,4d6bb0,4d67b0,4d69b0,6ca,407498,20,60,53f2d0,53f2f8,c8
5787739fc6cf124cb151aa0cd913d9b05caf7745e37d496458007f814fbc874e,4d58f0,4d5af0,4d56f0,6ca,406430,20,60,53e2d0,53e2f8,c8
1c8146c4001acde0194408822f16e64ef976faf28d080328f3b8ae3701f93e19,4d5930,4d5b30,4d5730,6ca,406470,20,60,53e2d0,53e2f8,c8
4fd33cbcd593dd0ebe04ec10d24ad0ebdafa6823bcdb0aa8632a86bf7f26c48d,4d68b0,4d6ab0,4d66b0,6ca,407480,20,60,53f2d0,53f2f8,c8
896dacc858e3eda772dcbb1d8c605c532837d6fb27c73e8e5ab8b0dac4b0c3a8,4d5930,4d5b30,4d5730,6ca,406470,20,60,53e2d0,53e2f8,c8
e060fb528f2c5532f5b0c182620b68ff540f5196a5b2775656c2120a198dd0aa,4d68b0,4d6ab0,4d66b0,6ca,407480,20,60,53f2d0,53f2f8,c8
4fc01f8b79576d681b5df57aa4b15162acd43aac9a987f0f9a0e428f2956716d,4d6b70,4d6770,4d6970,6ca,407438,20,60,53f2d0,53f2f8,c8
4a5753c4446606293269e183dc2682afd22f043fd91b74565cb56e3e4f8e88f2,4d6b70,4d6770,4d6970,6ca,407438,20,60,53f2d0,53f2f8,c8
ec1976b976bc6bd30a66e378e9aa0cdf6bae07344bb5e90dc2b8cac0507ecc63,4d5b70,4d5770,4d5970,6ca,406438,20,60,53e2d0,53e2f8,c8
f0f9ae95425ccfdf2f89059c9d894e4087a2fb5ed1aaa30dfb405b85935a0007,4d5b70,4d5770,4d5970,6ca,406438,20,60,53e2d0,53e2f8,c8
6615f4ae39ae25423ade4e1ec01546a6daef2f9139fafbb1321d374cf3554413,4d5b70,4d5770,4d5970,6ca,406438,20,60,53e2d0,53e2f8,c8
f33ec0c2b089cffd03f11f25fee8db46cac54cac4f5dd3d9ae4bf657620746f1,4d6970,4d6b70,4d6770,6ca,407470,20,60,53f2d0,53f2f8,c8
819e4c3bb269d62de9fee00194b9414b39f336577880adf05ee3ae335375b4b7,4d5b70,4d5770,4d5970,6ca,406438,20,60,53e2d0,53e2f8,c8
d387bfdabeb9b2756beb1e374b158362183bb0ee3f1522d044185bb17d3a6e32,4d6970,4d6b70,4d6770,6ca,407470,20,60,53f2d0,53f2f8,c8
999b11da71e3d7973dcaeaf8961791ad0b82ea0da894753fcb97d858eb29744d,4d5b70,4d5770,4d5970,6ca,406438,20,60,53e2d0,53e2f8,c8
631e567903185c6ac045437f336838fb4d42d5ea2c599554577cef1d0571e97f,4d6970,4d6b70,4d6770,6ca,407470,20,60,53f2d0,53f2f8,c8
8396814c875f40fefacd91654ef6b031171f3c55713f2a08d9da2464354803cb,4d9d70,4d9970,4d9b70,6ca,40a038,20,50,5422d0,5422f8,c8
6acdb597871f5917614a98501dae7adfdaddc44505e92e90ac09f7348632ba07,4d68f0,4d6af0,4d66f0,6ca,407438,20,60,53f2d0,53f2f8,c8
7ff3ab13d439a3874c8a75a95304966672a921be81018d65eb0b56307d879df3,4d6970,4d6b70,4d6770,6ca,407470,20,60,53f2d0,53f2f8,c8
088fbdf5c1653479bad50de2e3c0bc7527a12a8e0db8c7ac4abe42d057767dfc,4d6930,4d6b30,4d6730,6ca,407410,20,60,53f2d0,53f2f8,c8
93ae48b840d77f0918b5f2f1898e4b39ba57a5f3a1e6ae877cf430aa3448dff0,4d6930,4d6b30,4d6730,6ca,407410,20,60,53f2d0,53f2f8,c8
